,nombre_usuario,#_iteraciones
855,estefaniamaribel5 ,4.0
2404,patricioreese ,4.0
1080,guilleayora ,4.0
2403,patricioloja ,4.0
783,egmacas ,4.0
2546,rogersrodriguez25 ,4.0
1072,grdelgado1 ,4.0
2429,paulinabuena ,4.0
1061,gmcordova1 ,4.0
1032,gianellacarolina ,4.0
2295,nidiajumbo1976 ,4.0
1459,jpmoya2 ,4.0
217,andrespesantes ,4.0
1240,jcyepez2 ,4.0
2307,nohely freirevillacres ,4.0
1576,kassandra renteria ,4.0
1577,kate0107 ,4.0
2134,micky1986 ,4.0
1759,lolyvaca21 ,4.0
1756,loanny osorio ,4.0
2057,mccedeno5 ,4.0
157,anacriollo ,4.0
1368,jmpizarro1 ,4.0
115,alexistorres ,4.0
1716,lidaj ,4.0
2283,nfmera ,4.0
2196,moisescastro ,4.0
2085,mely1993 ,4.0
1311,jessicayu ,4.0
2252,narvaez ,4.0
1650,ktbravo ,4.0
272,arigomez ,4.0
1317,jfrobles ,4.0
122,aliespinoza ,4.0
2093,mercy ,4.0
1336,jhulissavire ,4.0
2840,verosas1 ,4.0
2907,xavierjimenez83 ,4.0
1681,lcjimenez7 ,4.0
1662,lagaibor1 ,4.0
1227,jccorrea2 ,4.0
2225,mrayala1 ,4.0
2104,meviillarreal ,4.0
1206,japardo5 ,4.0
2209,monykdlc1987 ,4.0
1185,jaguzman ,4.0
1480,juancarlostito ,4.0
2971,yulizbeth5 ,4.0
1865,majimenez21 ,4.0
1859,maguirreviv ,4.0
1913,margaritapupiales ,4.0
1477,juan77 ,4.0
1199,janethrobles ,4.0
1445,josseline torres ,4.0
1843,maesque ,4.0
1964,maribelpozo ,4.0
2882,vrtene ,4.0
2367,pamelaviteri ,4.0
2872,vlcedeno1 ,4.0
5,62000 ,4.0
2339,oscarrv ,4.0
1951,marianelagualan ,4.0
1433,josedml12345 ,4.0
336,bryanyepez ,4.0
2192,mmgarces ,4.0
1174,jacky ,4.0
1135,ingridlojan2 ,3.0
1473,jrsamaniego2 ,3.0
805,elizabethchimborazo ,3.0
134,amcarrion7 ,3.0
1613,keilaazuero ,3.0
2167,mjacome ,3.0
144,amsosa2 ,3.0
832,enriquemision ,3.0
841,erikamestanza ,3.0
477,clrojas1 ,3.0
1550,karina bazan30 ,3.0
1571,karolina barrera ,3.0
2106,mfabarca ,3.0
1573,karolreyes ,3.0
2174,mjgutierrez ,3.0
2693,sofiaorellana ,3.0
2895,whmoran ,3.0
2133,mickaelaespin ,3.0
2896,willan ,3.0
2540,rocmarcs ,3.0
183,andreabedoya ,3.0
2158,miserrano ,3.0
194,andreamelo ,3.0
462,cindygarcia11 ,3.0
501,crisspinto ,3.0
1854,magdalenamontero ,3.0
2027,maugeortiz ,3.0
574,danielmoncayo70 ,3.0
683,dianatj ,3.0
2023,masolorzano7 ,3.0
1837,macristina ,3.0
659,diana encarnacion ,3.0
2611,sandra68 ,3.0
1841,maeliguirre4 ,3.0
49,aeochoa1 ,3.0
2099,merivera15 ,3.0
647,dennissefreire ,3.0
583,daquinde1 ,3.0
38,adrianagranizoh ,3.0
1971,marielaalvarado ,3.0
1914,margeth ,3.0
622,dayanavera ,3.0
1956,mariarmijos2090 ,3.0
2640,sebaez ,3.0
573,danielmedinar ,3.0
1826,maacaro ,3.0
2029,mauricio ,3.0
1820,lvsinche ,3.0
1689,leidy85 ,3.0
770,edwinrolando ,3.0
2562,rosagavilanes ,3.0
2086,memunoz3 ,3.0
2081,melisalinasr06 ,3.0
2572,rositajimenez ,3.0
1749,lmguaman11 ,3.0
1754,lmquimi1 ,3.0
731,dorispauta ,3.0
2053,mbecerra ,3.0
562,danielacando ,3.0
1773,lraucancela ,3.0
1782,lucia chumbi ,3.0
2044,mayra1976 ,3.0
2597,ryuu22 ,3.0
2598,sabsy 16 ,3.0
89,alejandrotipan ,3.0
1708,lettis1969 ,3.0
1,0803029297 ,3.0
205,andreitabelen ,3.0
1036,gigiguerra ,3.0
2833,veronicagusqui ,3.0
1321,jgperez2 ,3.0
1331,jhuliana ,3.0
2804,valerie7 ,3.0
1202,janina prieto25 ,3.0
416,cdcalva ,3.0
1355,jlmedina ,3.0
2739,sxlluglla ,3.0
1006,gatunovelasco ,3.0
1357,jlrios5 ,3.0
2738,svtravez ,3.0
2253,natali ,3.0
988,gabyceli25 ,3.0
2249,naomy ,3.0
2775,tevasr ,3.0
1033,gianellacarrionsalinas ,3.0
367,carlosalegria ,3.0
2850,vickyvalencia ,3.0
1309,jessicasanchez ,3.0
2642,sechans ,3.0
2753,tatiana panchana ,3.0
1291,jessica chiluisa ,3.0
283,avonvanessa ,3.0
2431,paulmunoz ,3.0
1294,jessica1987 ,3.0
1276,jennylapo ,3.0
2817,vccampoverde3 ,3.0
2826,veronaponce ,3.0
302,bertha ,3.0
1308,jessicapallazhco ,3.0
2766,tatyroa94 ,3.0
2499,rareinoso1 ,3.0
2413,patyocamporuiz ,3.0
1226,jccela ,3.0
977,gabrielarosales ,3.0
1197,jandryparraga ,3.0
2297,ninfa ,3.0
2205,monikperez ,3.0
1435,josejaramillo ,3.0
1432,josecastillo ,3.0
2368,pameliz ,3.0
1127,ines sigcho ,3.0
2388,pasarzosa ,3.0
1186,jaimevivanco ,3.0
353,caperdomo ,3.0
1121,iarodriguez6 ,3.0
1436,joselias ,3.0
1442,josesoto ,3.0
1120,hugo rivera ,3.0
331,bryan ontaneda ,3.0
2796,valentinambuludi ,3.0
1400,johnbryan ,3.0
950,frealfrodvel ,3.0
1420,jorgebrito ,3.0
2234,msorellana6 ,3.0
418,cearaujo1 ,3.0
2735,susanatoledo ,3.0
2202,monicamarquez6 ,3.0
1397,johis9 ,3.0
2868,vivianal ,3.0
451,christianburi ,3.0
2758,tatianafreire ,2.0
102,alexandracris ,2.0
97,alexanderbenalcazar ,2.0
337,bujiinichoez ,2.0
591,daryhen ,2.0
332,bryanchalan ,2.0
91,alejita ,2.0
2982,zoebeatrizma ,2.0
94,alexa aguirre ,2.0
303,betty ,2.0
56,afquezada3 ,2.0
2764,tatiquilca ,2.0
74,albita ,2.0
323,brayanprm ,2.0
46,aeguizado ,2.0
360,carlangas238 ,2.0
292,beatrizgonzalez ,2.0
2953,ygdelgado1 ,2.0
2964,yosselynv ,2.0
2651,sergiojaramillo ,2.0
328,briidgetserrano ,2.0
2803,valeriaviteri ,2.0
37,adrianabermeo ,2.0
31,adilj ,2.0
313,bladimirvaldivieso ,2.0
366,carlos20miya ,2.0
312,bjvalencia ,2.0
324,bridgitthe ,2.0
403,carolinamartinez ,2.0
287,barberiswg ,2.0
251,anitagalvan ,2.0
498,crisdagarcia ,2.0
225,andy90 ,2.0
2894,wfpastuna ,2.0
2701,solbita ,2.0
2702,solcarvajal ,2.0
220,andrevicente ,2.0
214,andresmera ,2.0
160,anaisanchez ,2.0
211,andrescarrion ,2.0
2704,sonia cristina19 ,2.0
165,anaochoa ,2.0
179,andrea vaca ,2.0
480,cmmatute1 ,2.0
478,clvinces ,2.0
210,andresbenitez ,2.0
2884,vtrodriguez1 ,2.0
438,cesarvallejo ,2.0
445,charito 1976 ,2.0
2875,vmsantander ,2.0
449,chitupunkuch ,2.0
202,andrecazar ,2.0
237,anghy isa ,2.0
142,amperez6 ,2.0
564,danielaguaman ,2.0
417,cdchachalo ,2.0
560,danielaastudillo ,2.0
554,daniel92yk ,2.0
401,carolinaguachamin ,2.0
548,damonta1 ,2.0
110,alexandrasanchez 92 ,2.0
112,alexandraveragarcia ,2.0
2831,veronicacuripoma ,2.0
2924,yadicarpio ,2.0
2922,xsuquillo ,2.0
2748,tanialve ,2.0
2677,sisaflores ,2.0
538,daaq7 ,2.0
2680,sjchiliquinga1 ,2.0
2921,xortix ,2.0
531,cvcuenca1 ,2.0
2836,veronicarodriguez ,2.0
2743,tamia salome ,2.0
2841,verosilva ,2.0
262,apcabrera2 ,2.0
499,crisp ,2.0
2692,sncoronel ,2.0
338,bvargasriofrio ,2.0
980,gabrielrd24 ,2.0
602,davidluzon ,2.0
1428,jorgevaca ,2.0
1213,jasontit ,2.0
1218,javiermichaelc ,2.0
2331,omarhidalgo ,2.0
1267,jenifercristinag2 ,2.0
1271,jenniferguevara ,2.0
1277,jennyloren ,2.0
1286,jessenia ,2.0
1292,jessica chimbo ,2.0
1300,jessicacabrera ,2.0
1302,jessicaesparza ,2.0
1312,jesslychamba ,2.0
1315,jessye ,2.0
1318,jgeovanny2010 ,2.0
1337,jialenx ,2.0
1351,jkrodriguez3 ,2.0
1364,jmlopez22 ,2.0
1366,jmolivares ,2.0
1379,joelgranda ,2.0
1384,joffrepinto21 ,2.0
2236,mvlaguapillo ,2.0
1393,johannacueva ,2.0
2223,mpromero4 ,2.0
1425,jorgepolanco ,2.0
2338,oscarrodriguez ,2.0
2340,osmary bravo ,2.0
2349,pablogutierrez ,2.0
1125,inacorp ,2.0
1069,gpordonez1 ,2.0
1074,gsgaona7 ,2.0
1085,gustavo jav1 ,2.0
2416,paula gaona ,2.0
2415,paucar ,2.0
1089,haaldeen ,2.0
1092,haydee ,2.0
1098,hellen villa1493 ,2.0
2399,patriciaflores ,2.0
2398,patriciachicango ,2.0
1134,ingridlojan12 ,2.0
1194,jame ,2.0
1139,irania garcia ,2.0
2371,paofer ,2.0
2369,pameorquera ,2.0
1156,ivana ,2.0
1162,ivettemaldonado ,2.0
2363,pamela913 ,2.0
1165,ivosaurio ,2.0
1179,jacquelineloaiza ,2.0
2353,pablorgomez ,2.0
2352,pabloquinche ,2.0
1427,jorgesamaniego21 ,2.0
1438,joseluisp ,2.0
1053,gladis vidal ,2.0
1454,jpfiallos ,2.0
1699,leoncio0923 ,2.0
2077,melania granda123 ,2.0
1719,liliacabrera14882 ,2.0
1731,liz ,2.0
1739,lkleiva ,2.0
1744,llrivera1 ,2.0
1780,luchytalinda ,2.0
1787,luciagleon ,2.0
1791,luis davila ,2.0
1803,luiseduardo ,2.0
2036,mavasquez24 ,2.0
1817,luzvera ,2.0
2021,masanchez32 ,2.0
2016,marylinortiz ,2.0
2004,martha orrala6 ,2.0
1870,majo94 ,2.0
1987,maritzaguaya ,2.0
1887,mapadilla6 ,2.0
1891,maramirez6 ,2.0
1905,marciacampos ,2.0
1922,maria ines ,2.0
1957,mariarojasu ,2.0
1953,mariangi ,2.0
2087,meortega10 ,2.0
1695,leninpillajo ,2.0
2105,meylinrobles ,2.0
1537,karenceins ,2.0
1455,jpgallardo7 ,2.0
1456,jpgallegos3 ,2.0
1467,jrchuquirima1 ,2.0
1476,juan h ,2.0
2181,mjsotomayor1 ,2.0
1489,juanpablo ,2.0
1491,juanquishpe ,2.0
2175,mjmora5 ,2.0
1519,kacastillo ,2.0
2168,mjalmachi ,2.0
1545,karennaciph ,2.0
2109,mfflores7 ,2.0
1546,karennathy ,2.0
1579,katerin montesdeoca ,2.0
2132,michi23 ,2.0
1608,kdiaz ,2.0
1625,keshiamediavilla ,2.0
1637,kmespinoza3 ,2.0
1643,koraima viteri ,2.0
1654,kxmorocho ,2.0
1661,ladycris ,2.0
2112,mfgranda2 ,2.0
2432,paululco ,2.0
1257,jecenialuzuriaga ,2.0
883,fabio ,2.0
799,elimar ,2.0
814,elvisao ,2.0
959,gabbypenafiel ,2.0
831,enrique ochoa ,2.0
686,diancarol92 ,2.0
630,dchamorr ,2.0
945,frank ,2.0
935,fmireya8 ,2.0
642,deisy changovalin ,2.0
928,fkpizarro ,2.0
678,dianapcll ,2.0
2523,rinabermeo ,2.0
2490,rafa ,2.0
753,eddy ,2.0
2570,rosavelasco02 ,2.0
906,fernandafernandez ,2.0
650,deysichamba ,2.0
890,fasandoval ,2.0
651,dfalvarado ,2.0
2518,ricardo01 ,2.0
804,elizabeth35 ,2.0
2626,saparedes1 ,2.0
2455,pinti ,2.0
787,eileenacupas ,2.0
1029,ggpena ,2.0
790,ejpineda ,2.0
2634,sccastillo1 ,2.0
754,edgar1984 ,2.0
1012,gemazambrano ,2.0
772,eelara ,2.0
864,eucevallos ,2.0
1011,geicomayo ,2.0
2054,mcalderon9 ,1.0
2898,williansuasnavas ,1.0
849,esperanzapinta ,1.0
1824,m 10 e ,1.0
2022,masantillan9 ,1.0
2582,rquizhpe ,1.0
1352,jlcobos1 ,1.0
2706,soniahurtado25 ,1.0
1539,karencita ,1.0
806,elizabethguaman ,1.0
2655,sfdf342 ,1.0
2265,ncastillo ,1.0
2590,rudyhidalgoperez ,1.0
1850,magalyquezada ,1.0
1612,kebonilla ,1.0
1736,lizeth ,1.0
2515,rexita ,1.0
863,estrella ,1.0
2280,nemelendres ,1.0
2284,ngmendoza1 ,1.0
2102,merymorales ,1.0
2591,ruth56 ,1.0
2533,roberto cuesta ,1.0
2182,mjvela ,1.0
2858,victorpineda ,1.0
2219,mpguerrero1 ,1.0
1799,luisavega ,1.0
2698,sofy granda26 ,1.0
689,diany ,1.0
2224,mpvargas4 ,1.0
773,eemoran ,1.0
66,ajcabrera3 ,1.0
1041,gina9 ,1.0
497,cris19 ,1.0
1604,kbpinzonl ,1.0
2245,nancymolina ,1.0
93,alex jaramillo ,1.0
1815,luzmaria ,1.0
2528,rmjacome2 ,1.0
2178,mjpozo ,1.0
705,diegovelasquez ,1.0
232,angeleduardo ,1.0
206,andrenarvaez ,1.0
1373,joce ,1.0
523,cristinaflores ,1.0
2931,yahafranco ,1.0
130,alvaroxd ,1.0
279,asfd ,1.0
368,carlosbano ,1.0
955,frgarcia1 ,1.0
2379,paolalizbeth ,1.0
2383,paolaquintana ,1.0
987,gabyceli ,1.0
2391,pato66661 ,1.0
1118,hoovervaldivieso ,1.0
992,gabynor ,1.0
1002,gaojeda ,1.0
30,acviteri4 ,1.0
1912,margarita 04 ,1.0
364,carlos rcas ,1.0
744,earodriguez15 ,1.0
374,carlosenriquez ,1.0
280,asortega2 ,1.0
624,dayita 16 ,1.0
28,acvicente ,1.0
380,carlossq10 ,1.0
383,carlosvalarezo ,1.0
2418,paulaceli ,1.0
1954,mariaordonez ,1.0
2978,yvpezo ,1.0
6,a7xleonel ,1.0
2671,silvia neira ,1.0
1020,gepacame ,1.0
1670,laura35 ,1.0
1945,mariamontano1234 ,1.0
2784,tomasyepez ,1.0
1698,leonardocosta ,1.0
1861,maguscordero ,1.0
1997,marjorieaponte ,1.0
1296,jessicaargoti ,1.0
282,avnavarrete1 ,1.0
145,amsuarez3 ,1.0
878,evvega1 ,1.0
2127,michelle paredes ,1.0
1730,litabenitez ,1.0
1856,maggitorres ,1.0
2503,rbcartuche ,1.0
59,agpaltin ,1.0
1268,jenifferhurtado ,1.0
611,davillavivencio ,1.0
2625,santiagorivera ,1.0
535,cxgutierrez ,1.0
1235,jcruz ,1.0
1231,jcorellana88 ,1.0
934,fmaguirre ,1.0
930,fleeperkp ,1.0
2487,ptastudillo ,1.0
1163,ivettetomala ,1.0
442,cgtoala ,1.0
927,fjarmijosv ,1.0
318,bogranda ,1.0
2341,oswaldrobert ,1.0
643,del65 ,1.0
900,femariduena ,1.0
734,dreduq ,0.0
2579,roxy ,0.0
121,ali coronel ,0.0
707,difer ,0.0
706,diepinto30 ,0.0
127,almudenagrandal ,0.0
1046,giovannaguerrero ,0.0
563,danielafernanda ,0.0
1876,malmendat ,0.0
3,342543 ,0.0
613,dayaguache1 ,0.0
20,abproano ,0.0
1920,maria fernanda zambrano valle ,0.0
1975,marielisa ,0.0
1977,marieramirez ,0.0
1882,manarvaez9 ,0.0
1879,mamolina6 ,0.0
2009,marverito ,0.0
1732,lizastudillo ,0.0
1851,magalyt ,0.0
2952,yessyeniacordova ,0.0
76,albuja narvaez ,0.0
82,alejandraluzuriaga ,0.0
88,alejandrocueva ,0.0
2657,sheilamartinez ,0.0
1788,luigi valo ,0.0
2596,rvquichimbo ,0.0
2011,mary lu ,0.0
2866,viviana 84 ,0.0
2577,roxanacox ,0.0
1248,jdvelez ,0.0
2791,vabriceno ,0.0
2728,steve 26 ,0.0
446,chavila ,0.0
448,chicho84us ,0.0
2493,rafaelluquej ,0.0
452,christianespinozar ,0.0
2812,vanessarosero ,0.0
2711,spnovas ,0.0
1266,jemecuma ,0.0
1270,jenniferchdiaz ,0.0
293,becarrion1 ,0.0
1284,jeseniavg ,0.0
1285,jesscruz ,0.0
2510,rejaramillo6 ,0.0
334,bryanjumbo ,0.0
1155,itmera ,0.0
1147,isabelconde ,0.0
1144,irmasamaniego ,0.0
1108,hfgomez1 ,0.0
2457,pjizurietajurado ,0.0
2409,patty guerrero022 ,0.0
2742,tagordillo ,0.0
378,carlosnivicela ,0.0
2761,tatianaromero ,0.0
1086,gustavogerardo ,0.0
2744,tamy ,0.0
1084,gustavo hernan ,0.0
1083,gustavo ,0.0
397,carolduque ,0.0
2439,pbenavides ,0.0
400,carolinaescalante ,0.0
278,asdfdsa ,0.0
270,archico ,0.0
545,dalia ,0.0
766,eduardot ,0.0
768,edwin ,0.0
532,cvdelgado2 ,0.0
166,anavela ,0.0
1544,karenmales ,0.0
163,anakarenm ,0.0
2892,wendynavarrete ,0.0
761,edisonrobles ,0.0
852,estebanguerra ,0.0
1594,katterine ,0.0
539,dabravo6 ,0.0
2125,michaelcb ,0.0
541,dacumbicus ,0.0
543,daherrera4 ,0.0
139,ammorocho5 ,0.0
2169,mjbatallas2 ,0.0
2881,vrquezada1 ,0.0
2687,smgaibor1 ,0.0
190,andreaguilera1 ,0.0
2876,vpena ,0.0
1429,jorricar ,0.0
833,eppacheco ,0.0
222,andreyna12 ,0.0
1396,johannasabando ,0.0
487,cnvaldi ,0.0
2527,rmalbuja ,0.0
848,esperanza ,0.0
2846,vhromero2 ,0.0
2845,vhlasso ,0.0
1354,jlhermenegildo ,0.0
2262,natyerazo ,0.0
2839,veronicavanessa ,0.0
1949,marianela ,0.0
